drug_name	ATC_3
fenticonazole	G01A
neomycin	J01G
nitrendipine	C08C
sulfapyridine	J01E
diroximel fumarate	L04A
nicotinic acid	C10A
sulfadiazine	J01E
glasdegib	L01X
ferrous fumarate	B03A
canagliflozin	A10B
docusate sodium. combinations	A06A
hexaminolevulinate	V04C
quinine	P01B
progesterone	G03D
brimonidine	D11A
pheniramine	D04A
olaratumab	L01F
streptomycin	A07A
oxatomide	R06A
chlorhexidine	A01A
isoprenaline	R03C
valethamate	A03A
metrifonate	P02B
edoxudine	D06B
lomustine	L01A
cocaine	S01H
ipecacuanha	V03A
cefacetrile	J01D
dimethylcarbate	P03B
desirudin	B01A
dirithromycin	J01F
insulin degludec	A10A
candesartan	C09D
diuretics	C09D
ramipril	C09B
diuretics	C09B
benzoyl peroxide	D10A
hexapropymate	N05C
megestrol	G03A
ethinylestradiol	G03A
linagliptin	A10B
peficitinib	L04A
ergoloid mesylates	C04A
typhoid-hepatitis A	J07C
iprazochrome	N02C
perflutren microspheres	V08D
cetylpyridinium	B05C
glibenclamide	A10B
fosphenytoin	N03A
ferric citrate	V03A
triamcinolone	D07A
lynestrenol	G03A
ethinylestradiol	G03A
hydroxychloroquine	P01B
sirukumab	L04A
reserpine	C02L
diuretics	C02L
levofloxacin	J01M
zolimidine	A02B
lubiprostone	A06A
arginine hydrochloride	B05X
diphenoxylate	A07D
technetium (99mTc) oxidronic acid	V09B
meticillin	J01C
chlormethine	L01A
cloricromen	B01A
phenylephrine	C01C
cabergoline	G02C
ceftaroline fosamil	J01D
cloranolol	C07A
omacetaxine mepesuccinate	L01X
sodium selenite	A12C
peginterferon alfa-2b	L03A
histamine dihydrochloride	L03A
noxytiolin	B05C
quinethazone	C03B
potassium	C03B
bietaserpine	C02L
diuretics	C02L
glipizide	A10B
pramocaine	C05A
4-dimethylaminophenol	V03A
isosorbide dinitrate	C05A
broxyquinoline	G01A
isotretinoin	D10B
feather	V01A
contact laxatives in combination with belladonna alkaloids	A06A
tiracizine	C01E
etamivan	R07A
cefaclor	J01D
drotaverine	A03A
benzyl benzoate	P03A
silver sulfadiazine	D06B
itopride	A03F
suprofen	M01A
aceneuramic acid	M09A
meladrazine	G04B
caplacizumab	B01A
peginterferon alfacon-2	L03A
procaterol	R03C
moxestrol	G03C
trospium	G04B
trimipramine	N06A
artesunate	P01B
mefloquine	P01B
insect allergenic extracts	V01A
trilaciclib	V03A
emtricitabine alafenamide	J05A
bictegravir	J05A
dimetindene	R06A
sevelamer	V03A
dasiprotimut-T	L03A
silodosin	G04C
sodium feredetate	B03A
alendronic acid	M05B
framycetin	D09A
benralizumab	R03D
invert sugar	C05B
iobenguane (131I)	V09I
olmesartan medoxomil	C09C
fosdenopterin	A16A
formoterol	R03A
glycopyrronium bromide	R03A
hydroflumethiazide	C03A
oxyphenonium	A03A
flubendazole	P02C
lemborexant	N05C
valrubicin	L01D
nomegestrol	G03A
estradiol	G03A
leuprorelin	L02A
ioxaglic acid	V08A
methylscopolamine	A03C
psycholeptics	A03C
phenprobamate excl. psycholeptics	M03B
insulin (human)	A10A
sulfadimethoxine	J01E
edoxaban	B01A
benzydamine	M01A
metirosine	C02K
gamolenic acid	D11A
hydroquinone	D11A
glimepiride	A10B
tuaminoheptane	R01A
adrenalone	B02B
niraparib	L01X
iron B12	B03A
folic acid	B03A
chlorquinaldol	P01A
nitazoxanide	P01A
prenylamine	C01D
metronidazole	G01A
levocarnitine	A16A
trapidil	C01D
ispaghula	A06A
nicotinyl alcohol	C04A
deferasirox	V03A
sodium glycerophosphate	B05X
nitrofurantoin	J01X
andexanet alfa	V03A
macitentan	C02K
colecalciferol	A11C
phenylephrine	R01B
bicalutamide	L02B
sulfamerazine	J01E
oxabolone cipionate	A14A
rocuronium bromide	M03A
voglibose	A10B
unoprostone	S01E
spiramycin	J01F
bithionol	D10A
migalastat	A16A
isoconazole	G01A
nisoldipine	C08C
ferrous ascorbate	B03A
troleandomycin	J01F
meticrane	C03B
luseogliflozin	A10B
arsthinol	P01A
acebutolol	C07A
hydroxyprogesterone	G03D
policresulen	D08A
methionine (11C)	V09I
zomepirac	M01A
voclosporin	L04A
didecyldimethylammonium chloride	D08A
fingolimod	L04A
eltrombopag	B02B
ibopamine	S01F
buformin	A10B
ergotamine excl. psycholeptics	N02C
captopril	C09A
aniracetam	N06B
digitoxin	C01A
fludrocortisone	H02A
bismuth subcitrate	A02B
picodralazine	C02L
diuretics with psycholeptics	C02L
bazedoxifene	G03X
technetium (99mTc) phytate	V09D
vonoprazan	A02B
metronidazole	A02B
cefsulodin	J01D
phenol	R02A
attapulgite	A07B
methylscopolamine	A03B
sodium chloride	A12C
papaverine	G04B
baloxavir marboxil	J05A
tolrestat	A10X
atenolol	C07B
thiazides	C07B
cefepime	J01D
viloxazine	N06A
tadalafil	G04B
paroxetine	N06A
glycopyrronium bromide	R03B
olopatadine	S01G
montelukast	R03D
spectinomycin	J01X
ixekizumab	L04A
thymopentin	L03A
thiopropazate	N05A
tetracycline	A01A
ethanol	D08A
cypermethrin	P03B
irbesartan	C09D
amlodipine	C09D
perindopril	C09B
amlodipine	C09B
thiazinam	R06A
methallenestril	G03C
sodium phosphate	V03A
tisagenlecleucel	L01X
phenprobamate with psycholeptics	M03B
bopindolol	C07A
satralizumab	L04A
conestat alfa	B06A
entinostat	L01X
polythiazide	C03A
icotinib	L01E
Enema combinations	A06A
cyclothiazide	C03A
potassium	C03A
ibandronic acid	M05B
colecalciferol	M05B
pethidine with psycholeptics	N02A
ketorolac	M01A
haemophilus influenzae B with meningococcus C	J07A
rasburicase	V03A
fluocinonide	D07A
fusidic acid	J01X
pipobroman	L01A
proguanil	P01B
alipogene tiparvovec	C10A
dexlansoprazole	A02B
phenibut	N06B
praziquantel	P02B
tazobactam	J01C
golimumab	L04A
streptokinase	B01A
naproxen	G02C
prilocaine	N01B
ampicillin	J01C
beta-lactamase inhibitor	J01C
medroxyprogesterone	G03A
triaziquone	L01A
cridanimod	L03A
formoterol	R03A
mometasone	R03A
blood plasma	B05A
interferon alfa-n1	L03A
pipenzolate	A03A
dorzolamide	S01E
lorazepam	N05B
physostigmine	S01E
rauwolfia alkaloids root	C02A
reteplase	B01A
glimepiride	A10B
rosiglitazone	A10B
contact laxatives in combination	A06A
bopindolol	C07C
other diuretics	C07C
technetium (99mTc) lidofenin	V09D
Magnesium antacid compound combinations	A02A
cetylpyridinium	D09A
peginterferon alfa-2a	L03A
naproxen	M01A
opium	A07D
diiodohydroxyquinoline	G01A
olsalazine	A07E
difluprednate	D07A
biapenem	J01D
budesonide	R01A
technetium (99mTc) medronic acid	V09B
vorinostat	L01X
methylergometrine	G02A
streptomycin	J01G
cisapride	A03F
diltiazem	C05A
grass pollen	V01A
lamotrigine	N03A
pramlintide	A10B
protein C	B01A
busulfan	L01A
bemegride	R07A
sucralfate	A02B
propranolol	C07B
thiazides	C07B
diethylstilbestrol	L02A
ciprofibrate	C10A
rabeprazole	A02B
clarithromycin	A02B
copper oleinate	P03A
combinations of electrolytes	B05X
metformin	A10B
dapagliflozin	A10B
oxybutynin	G04B
collagenase clostridium histolyticum	M09A
chlormadinone	G03A
ethinylestradiol	G03A
visnadine	C04A
artesunate	P01B
amodiaquine	P01B
trandolapril	C09B
verapamil	C09B
pantoprazole	A02B
barium sulfate with suspending agents	V08B
upadacitinib	L04A
cinitapride	A03F
furazolidone	G01A
histapyrrodine	R06A
ceftibuten	J01D
cortivazol	H02A
Beta-lactamase sensitive penicillin combinations	J01C
sodium citrate	B05C
sodium tetradecyl sulfate	C05B
lanthanum carbonate	V03A
fluocortin	D07A
bioallethrin	P03A
lofepramine	N06A
atidarsagene autotemcel	A16A
calcium pangamate	A12A
obidoxime	V03A
insulin (human)	A10A
carbenicillin	J01C
gemigliptin	A10B
nicergoline	C04A
telmisartan	C09D
diuretics	C09D
pilocarpine	S01E
cholera with typhoid vaccine cell	J07A
tiludronic acid	M05B
secukinumab	L04A
mometasone	R03B
pyridostigmine	N07A
sulfur hexafluoride microspheres	V08D
quinapril	C09B
diuretics	C09B
niflumic acid	M02A
lynestrenol	G03A
ethinylestradiol	G03A
technetium (99mTc) galtifenin	V09D
muromonab-CD3	L04A
triamcinolone	C05A
mupirocin	D06A
primaquine	P01B
pentanedioic acid imidazolyl ethanamide	J05A
lanatoside C	C01A
cyamemazine	N05A
faropenem	J01D
triprolidine	R06A
albumin	B05A
ethacridine lactate	D08A
calcium levofolinate	V03A
trimethoprim	J01E
quinagolide	G02C
ormeloxifene	G03X
filgrastim	L03A
picotamide	B01A
thonzylamine	R01A
cefprozil	J01D
etirinotecan pegol	L01C
magnesium lactate	A12C
meningococcus C polysaccharides antigen conjugated	J07A
inositol nicotinate	C04A
oxyfedrine	C01D
enzalutamide	L02B
midecamycin	J01F
abetimus	L04A
tioconazole	G01A
lactulose	A06A
cobalt (58Co) cyanocobalamine	V09X
trolnitrate	C01D
riociguat	C02K
calcifediol	A11C
chlortalidone	C03B
rosiglitazone	A10B
metformin	A10B
lobeglitazone	A10B
phenol	D08A
cilostazol	B01A
mecasermin rinfabate	H01A
probenecid	M04A
mesterolone	G03B
prajmaline	C01B
guanoclor	C02C
iodoform	D09A
tioguanine	L01B
laronidase	A16A
diclofenac	M01A
fusafungine	R02A
ferrous iodine	B03A
belatacept	L04A
carbamide	B05B
tetryzoline	R01A
enalapril	C09A
insulin (beef)	A10A
prednisolone	A07E
valsartan	C09C
alitretinoin	L01X
cibenzoline	C01B
chlormadinone	G03A
ethinylestradiol	G03A
goserelin	L02A
other preparations	C05A
disopyramide	C01B
electrolytes in combination with other drugs	B05B
bitolterol	R03A
dapoxetine	G04B
fenbendazole	P02C
rucaparib	L01X
iotroxic acid	V08A
iron	B03A
folic acid	B03A
acipimox	C10A
otologic analgesic	S02D
anesthetic combinations	S02D
pegfilgrastim	L03A
metoprolol	C07C
other diuretics	C07C
helium	V03A
sulfalene	J01E
Hepatitis vaccine combinations	J07B
vilanterol bromide	R03A
fluticasone furoate	R03A
thrombin	B02B
promegestone	G03D
ibacitabine	D06B
hydroxocobalamin	V03A
clofenotane	P03A
magnesium sulfate	V04C
clotrimazole	G01A
norethisterone	G03F
estrogen	G03F
betrixaban	B01A
atracurium	M03A
mupirocin	R01A
lopinavir	J05A
ritonavir	J05A
vedolizumab	L04A
thiamphenicol	J01B
dexrazoxane	V03A
sertraline	N06A
epanolol	C07A
nadolol	C07A
trichlormethiazide	C03A
tetracosactide	H01A
nifuratel	G01A
losartan	C09D
amlodipine	C09D
cobamamide	B03B
benzoxonium chloride	A01A
risedronic acid	M05B
colecalciferol	M05B
chlorothiazide	C03A
potassium	C03A
emapalumab	L04A
etanercept	L04A
tiratricol	H03A
glyceryl trinitrate	C05A
dequalinium	G01A
dipyrocetyl	N02B
pegunigalsidase alfa	A16A
sulfamethizole	D06B
tazemetostat	L01X
norethisterone	G03A
carisoprodol with psycholeptics	M03B
salbutamol	R03A
sodium cromoglicate	R03A
retinol (vit A)	A11C
temozolomide	L01A
cycloguanil embonate	P01B
palifermin	V03A
budesonide	D07A
"haemophilus influenza B with meningococcus C,Y"	J07A
ramipril	C09B
felodipine	C09B
mequitazine	R06A
omeprazole	A02B
efaproxiral	L01X
conivaptan	C03X
stem cells from umbilical cord blood	B05A
plastic IUD with copper	G02B
lansoprazole	A02B
levofloxacin	A02B
moexipril	C09A
carteolol	S01E
carboquone	L01A
2-(4-chlorphenoxy)-ethanol	D01A
aceclofenac	M01A
benzydamine	G02C
interferon alfa natural	L03A
alteplase	B01A
sodium chloride	B05C
tyrothricin	D06A
feprazone	M02A
urapidil	C02C
brinzolamide	S01E
kebuzone	M01A
moxonidine	C02L
diuretics	C02L
isoxsuprine	C04A
metformin	A10B
pioglitazone	A10B
lasofoxifene	G03X
omeprazole	A02B
rifabutin	A02B
mannitol	B05C
nedocromil	S01G
strontium ranelate	M05B
colecalciferol	M05B
deserpidine	C02A
oxyquinoline	R02A
proglumide	A02B
hexamidine	D08A
etelcalcetide	H05B
acebutolol	C07B
thiazides	C07B
fluocortolone	D07C
antibiotics	D07C
cefpirome	J01D
sildenafil	G04B
ceftriaxone	J01D
calcium phosphate	A12A
desoxycortone	H02A
pegademase	L03A
ifenprodil	C04A
sarilumab	L04A
estrone	G03C
insulin (pork)	A10A
amikacin	J01G
methylthioninium chloride	V03A
methenamine	J01X
benzocaine	C05A
ofloxacin	J01R
ornidazole	J01R
hexetidine	G01A
cyclophosphamide	L01A
fluorouracil	L01B
chlorbenzoxamine	A03A
amoxapine	N06A
fazadinium bromide	M03A
decitabine	L01B
cefadroxil	J01D
ferric hydroxide	B03A
mexiletine	C01B
danazol	G03X
methoxy polyethylene glycol-epoetin beta	B03X
ornipressin	H01B
iopanoic acid	V08A
Ginkgo folium	N06D
pegteograstim	L03A
triflusal	B01A
hexoprenaline	R03A
pargyline	C02K
insulin (human)	A10A
laquinimod	N07X
troxipide	A02B
sulfamethoxazole	J01E
trimethoprim	J01E
megestrol	G03A
ethinylestradiol	G03A
dexketoprofen	M01A
artesunate	P01B
piribedil	N04B
coagulation factor VII	B02B
benzydamine	A01A
chiniofon	P01A
oxaliplatin	L01X
tetryzoline	S01G
dexketoprofen	M02A
chlorhexidine	S02A
rescinnamine	C02L
diuretics	C02L
mannitol	B05B
pentosan polysulfate sodium	C05B
ticarcillin	J01C
procarbazine	L01X
rauwolfia alkaloids root	C02L
diuretics	C02L
aceclidine	S01E
lesinurad	M04A
metolazone	C03B
xantinol nicotinate	C04A
lenacapavir	J05A
iodine ioflupane (123I)	V09A
alanyl glutamine	B05X
calcitonin (pork natural)	H05B
barium sulfate without suspending agents	V08B
styramate	M03B
paracetamol excl. psycholeptics	N02B
tioconazole	D01A
ethacridine lactate	B05C
methylprednisolone	D07A
ketotifen	R06A
bacitracin	J01X
gliquidone	A10B
phenytoin	N03A
dexamethasone	D07A
timolol	C07D
other diuretics	C07D
nitisinone	A16A
magnesium aspartate	A12C
diprophylline	R03D
acetarsol	G01A
sofosbuvir	J05A
velpatasvir	J05A
azidocillin	J01C
calcium acetate	V03A
magnesium carbonate	V03A
quinidine with psycholeptics	C01B
Short-acting sulfonamide combinations	J01E
cefdinir	J01D
metformin	A10B
dapagliflozin	A10B
dolutegravir	J05A
rilpivirine	J05A
corifollitropin alfa	G03G
amphotericin B	G01A
florbetaben (18F)	V09A
imeglimin	A10B
tilbroquinol	P01A
tiliquinol	P01A
cefuroxime	J01R
metronidazole	J01R
streptokinase	B06A
luliconazole	D01A
amineptine	N06A
etamsylate	B02B
ferrous sodium citrate	B03A
catridecacog	B02B
zorubicin	L01D
insulin glargine	A10A
lixisenatide	A10A
ferric maltol	B03A
metamizole sodium with psycholeptics	N02B
vilanterol	R03A
umeclidinium bromide	R03A
cimetidine	A02B
telotristat	A16A
bexarotene	L01X
technetium (99mTc) nanocolloid	V09E
absorbable gelatin sponge	B02B
insulin (pork)	A10A
hydrocortisone	A07E
bacitracin	R02A
mebendazole	P02C
gestodene	G03A
ethinylestradiol	G03A
metronidazole	P01A
furazolidone	P01A
cladribine	L01B
chlorphenoxamine	R06A
indacaterol	R03A
norfloxacin	J01R
metronidazole	J01R
lisinopril	C09A
megestrol	G03D
difetarsone	P01A
betaxolol	C07A
ampicillin	S01A
quinupristin/dalfopristin	J01F
isotretinoin	D10A
dicoumarol	B01A
dienogest	G03D
collagen	B02B
magnesium chloride	A12C
aloxiprin	B01A
atenolol	C07C
other diuretics	C07C
vaginal ring with progestogen	G02B
estrogen	G02B
zinc preparations	C05A
suxamethonium	M03A
phenylmercuric borate	D08A
hexamidine	R01A
pertussis antigen with toxoids	J07A
fomepizole	V03A
ergocalciferol	A11C
mannitol	R05C
azelastine	R06A
thonzylamine	D04A
sulfametomidine	J01E
elagolix	H01C
mefenorex	A08A
hexafluronium	M03A
apalutamide	L02B
nedocromil	R01A
parecoxib	M01A
ceforanide	J01D
senega	R05C
sincalide	V04C
emicizumab	B02B
alum	S01X
propantheline	A03C
psycholeptics	A03C
darifenacin	G04B
acetylsalicylic acid with psycholeptics	N02B
colfosceril palmitate	R07A
benziodarone	C01D
metformin	A10B
empagliflozin	A10B
belladonna total alkaloids	A03C
psycholeptics	A03C
natalizumab	L04A
cefalexin	J01D
phenazopyridine	G04B
pioglitazone	A10B
degarelix	L02B
mefruside	C03B
ivermectin	P02C
belotecan	L01C
mitoguazone	L01X
sertindole	N05A
hydrocortisone butyrate	D07B
antiseptics	D07B
Other intestinal adsorbent combinations in ATC	A07B
androstanolone	G03B
guanazodine	C02C
meglumine antimonate	P01C
sulfinpyrazone	M04A
triclosan	D08A
iprindole	N06A
ibuprofen	R02A
anistreplase	B01A
diosmin	C05C
fluocinolone acetonide	S02B
carbenoxolone	A02B
flunoxaprofen	G02C
bethanechol	N07A
umeclidinium bromide	R03B
phenacetin with psycholeptics	N02B
chlorphenesin	D01A
sulfaisodimidine	J01E
hexocyclium	A03A
decamethrin	P03B
vidarabine	S01A
glimepiride	A10B
pioglitazone	A10B
lactic acid	G01A
clioquinol	P01A
trifluoperazine	N05A
pantoprazole	A02B
metronidazole	A02B
technetium (99mTc) millimicrospheres	V09D
temocapril	C09A
mebutizide	C03E
potassium-sparing agents	C03E
povidone-iodine	R02A
methoserpidine	C02A
glyceryl trinitrate	C01D
policosanol	C10A
ibutilide	C01B
tobramycin	J01G
gonadotropin combinations	G03G
Combination solutions for parenteral nutrition	B05B
tosylchloramide sodium	D08A
cefozopran	J01D
yohimbine	G04B
combinations of sulfonamides	G01A
lodoxamide	S01G
methylergometrine	G02A
oxytocin	G02A
dexamethasone	H02A
asenapine	N05A
oxeladin	R05D
pidotimod	L03A
amoxicillin	J01C
beta-lactamase inhibitor	J01C
triamcinolone	H02A
cilnidipine	C08C
insulin lispro	A10A
fluocinonide	C05A
mofebutazone	M02A
megestrol	L02A
netilmicin	J01G
potassium permanganate	V03A
valsartan	C09D
amlodipine	C09D
tetrazepam	M03B
promethazine	R06A
porfimer sodium	L01X
sodium cellulose phosphate	V03A
diethylstilbestrol	G03C
demecolcine	L01C
osimertinib	L01E
alaproclate	N06A
bendroflumethiazide	C03A
acemetacin	M01A
telithromycin	J01F
epinephrine	R01A
calcium folinate	V03A
fluocinolone acetonide	D07A
digoxin	C01A
theophylline with psycholeptics	R03D
alendronic acid	M05B
colecalciferol	M05B
sodium sulfate	A12C
alemtuzumab	L04A
multivitamins	A11A
iron	A11A
oxomemazine	R06A
sulfanilamide	D06B
infliximab	L04A
phenylbutazone	M01A
sotorasib	L01X
betacarotene	A11C
normethadone	R05D
metampicillin	J01C
bromopride	A03F
emetine	P01A
satraplatin	L01X
xylometazoline	S01G
nitrofural	B05C
tolbutamide	A10B
sulfadiazine	J01E
trimethoprim	J01E
naproxcinod	M01A
deserpidine	C02L
diuretics	C02L
bismuth subnitrate	A02B
lysine	B05X
aminoacridine	D08A
calcitonin (human synthetic)	H05B
acetylcysteine	V03A
cefetamet	J01D
dipivefrine	S01E
piketoprofen	M02A
metformin	A10B
acarbose	A10B
pentoxifylline	C04A
leflunomide	L04A
terconazole	G01A
yttrium (90Y) ferrihydroxide colloid	V10A
netakimab	L04A
acrivastine	R06A
indium (111In) pentetic acid	V09A
vildagliptin	A10B
chlortalidone	C03B
potassium	C03B
tropenzilone	A03D
analgesics	A03D
clefamide	P01A
chlorhexidine	D09A
betamethasone	R01A
adapalene	D10A
camostat	B02A
hydrocortisone	D07A
tedizolid	J01X
cholinesterase	V03A
sucroferric oxyhydroxide	V03A
febarbamate	M03B
pertussis cell with toxoids	J07A
ketoconazole	D01A
prethcamide	R07A
clorexolone with psycholeptics	C03B
ergot alkaloids	G02A
dalteparin	B01A
spiramycin	J01R
metronidazole	J01R
tetracycline	S01A
candicidin	G01A
polyestradiol phosphate	L02A
povidone-iodine	G01A
abciximab	B01A
iodoxamic acid	V08A
levomepromazine	N05A
ancestim	L03A
iproclozide	N06A
delafloxacin	J01M
sofosbuvir	J05A
voxilaprevir	J05A
timolol	C07B
thiazides	C07B
fluticasone furoate	R03B
carfilzomib	L01X
technetium (99mTc) microspheres	V09E
ferrous glycine sulfate	B03A
insulin (beef)	A10A
talimogene laherparepvec	L01X
isoflurane	N01A
midodrine	C01C
ixabepilone	L01D
chlorambucil	L01A
beclometasone	D07A
tegafur	L01B
vecuronium	M03A
potassium hydrogencarbonate	A12B
azatadine	R06A
pheniramine	R06A
orciprenaline	R03A
rabeprazole	A02B
demeclocycline	D06A
aminocaproic acid	B02A
pethidine excl. psycholeptics	N02A
von Willebrand factor	B02B
coagulation factor VIII in combination	B02B
iopydol	V08A
troglitazone	A10B
clopamide	C03B
isoetarine	R03A
moxidectin	P02C
chlorotrianisene	G03C
vincristine	L01C
permethrin	P03A
trospium	A03D
analgesics	A03D
artemotil	P01B
guanethidine	C02L
diuretics	C02L
rotigotine	N04B
thiomersal	D08A
temoporfin	L01X
abatacept	L04A
insulin (pork)	A10A
sodium picosulfate	A06A
homatropine	S01F
lenalidomide	L04A
combinations of levothyroxine	H03A
liothyronine	H03A
nitrogen	V03A
peruvoside	C01A
benzathine phenoxymethylpenicillin	J01C
alcuronium	M03A
buclizine	R06A
plastic IUD	G02B
technetium (99mTc) ethylenedicysteine	V09C
bilastine	R06A
anastrozole	L02B
tioclomarol	B01A
iodocholesterol (131I)	V09X
ferrous sulfate	B03A
fluocinolone acetonide	S01C
antiinfectives	S01C
brolucizumab	S01L
empagliflozin	A10B
dulaglutide	A10B
azanidazole	G01A
oxprenolol	C07A
sulfamoxole	J01E
pindolol	C07C
other diuretics	C07C
etynodiol	G03F
estrogen	G03F
oxidized cellulose	B02B
cetirizine	R06A
omeprazole	A02B
metronidazole	A02B
podophyllotoxin	D06B
sodium lauryl sulfoacetate. combinations	A06A
cefixime	J01R
ornidazole	J01R
mefloquine	P01B
lacidipine	C08C
sulfafurazole	J01E
atorvastatin	C10B
omega-3 fatty acids	C10B
chlormezanone with psycholeptics	M03B
levonorgestrel	G03A
cetrimonium	D08A
indacaterol	R03A
glycopyrronium bromide	R03A
meclofenamic acid	M01A
cefroxadine	J01D
ivosidenib	L01X
hydroxyzine	N05B
flurithromycin	J01F
tramazoline	R01A
vaginal ring with progestogen	G02B
lepirudin	B01A
levamisole	P02C
cabazitaxel	L01C
ticagrelor	B01A
bevantolol	C07A
ivermectin	D11A
etohexadiol	P03B
tesamorelin	H01A
prednisolone	H02A
vericiguat	C01D
velaglucerase alfa	A16A
nalorphine	V03A
oxybuprocaine	S01H
semustine	L01A
benzethonium chloride	D08A
hydrocortisone	D07B
antiseptics	D07B
alclofenac	M01A
mangafodipir	V08C
bisacodyl	A06A
perindopril	C09B
bisoprolol	C09B
etofenamate	M02A
methallenestril	G03C
tisopurine	M04A
irbesartan	C09C
suloctidil	C04A
fluanisone	N05A
methyltestosterone	G03B
articaine	N01B
formoterol bromide	R03A
beclometasone	R03A
hydrochlorothiazide	C03A
potassium	C03A
carumonam	J01D
pemetrexed	L01B
hydrocortisone	C05A
maribavir	J05A
flutrimazole	G01A
pentosan polysulfate sodium	G04B
vosoritide	M05B
interferon beta natural	L03A
plastic IUD with progestogen	G02B
gas-gangrene sera	J06A
bufexamac	M01A
fluocortolone	H02A
duvelisib	L01E
buphenine	C04A
clofezone	M02A
azithromycin	J01F
liquid paraffin	A06A
benidipine	C08C
medrysone	S01B
butoconazole	G01A
zimeldine	N06A
Aluminium antacid compound combinations	A02A
isopropanol	D08A
fluvoxamine	N06A
palonosetron	A04A
polihexanide	D08A
niclosamide	P02D
hydroflumethiazide	C03A
rociletinib	L01E
methotrexate	L01B
olmesartan medoxomil	C09D
amlodipine	C09D
Platelet aggregation inhibitor combinations excl. heparin	B01A
cyclobenzaprine	M03B
methoxyflurane	N02B
theobromine	C03B
salicylamide	N02B
solithromycin	J01F
begelomab	L04A
calcifediol	H05B
trazodone	N06A
alendronic acid	M05B
alfacalcidol	M05B
oxitropium bromide	R03B
thiethylperazine	R06A
oxyphenonium	A03A
fluocortolone	D07A
phenazone excl. psycholeptics	N02B
daclizumab	L04A
fimasartan	C09C
mepartricin	G04C
bumetanide	C03C
dichlorophen	P02D
sulfamerazine	D06B
timolol	S01E
strontium ranelate	M05B
diodone	V08A
methylrosaniline	D01A
elosulfase alfa	A16A
fructose	V06D
sparfloxacin	J01M
valsartan	C09D
nebivolol	C09D
liraglutide	A10B
perindopril	C09B
amlodipine	C09B
aliskiren	C09X
amlodipine	C09X
troxerutin	C05C
lenvatinib	L01E
mofebutazone	M01A
phenformin	A10B
sulfonylureas	A10B
revefenacin	R03B
bucetin with psycholeptics	N02B
s-atenolol	C07A
drospirenone	G03F
estrogen	G03F
polythiazide	C03A
potassium	C03A
famciclovir	S01A
rescinnamine	C02A
halofantrine	P01B
dinoprostone	G02A
diltiazem	C08D
moxaverine	A03A
measles with mumps attenuated	J07B
acetophenazine	N05A
atropine	S01F
nordazepam	N05B
prednisolone	D07B
antiseptics	D07B
fluocinolone acetonide	D07C
antibiotics	D07C
tetryzoline	R01A
colextran	C10A
gadoteric acid	V08C
dacarbazine	L01A
thyroid gland preparations	H03A
candesartan	C09D
amlodipine	C09D
lynestrenol	G03A
reproterol	R03A
sodium cromoglicate	R03A
codeine	N02A
ibuprofen	N02A
etilevodopa	N04B
decarboxylase inhibitor	N04B
eflornithine	P01C
ergometrine	G02A
phenacetin excl. psycholeptics	N02B
lorcainide	C01B
nifurtimox	P01C
follitropin alfa	G03G
mefruside	C03B
potassium	C03B
saxagliptin	A10B
demoxytocin	H01B
nalmefene	N07B
yttrium (90Y) silicate colloid	V10A
cefoxitin	J01D
tilidine	N02A
naloxone	N02A
mebutizide	C03A
levofloxacin	J01R
ornidazole	J01R
ciclopirox	G01A
ethinylestradiol	L02A
chlortetracycline	A01A
betamethasone	R03B
fentanyl	N01A
hexoprenaline	R03C
hydrocortisone aceponate	D07A
carmofur	L01B
alfuzosin	G04C
ixazomib	L01X
fluprednidene	D07X
asciminib	L01E
mebutamate	N05B
phenindamine	R06A
lidocaine	R02A
piperazine	P02C
hydralazine	C02L
diuretics	C02L
promazine	N05A
octopamine	C01C
palovarotene	M09A
benzocaine	D04A
pirisudanol	N06B
tripelennamine	R06A
salbutamol	R03A
potassium gluconate	A12B
hexamidine	S03A
dexbrompheniramine	R06A
fluorometholone	D07A
ibuproxam	M01A
diamorphine	N07B
ropinirole	N04B
amitriptyline	N06A
ethinylestradiol	G03C
norethisterone	G03D
coagulation factor IX	B02B
X in combination	B02B
phenylmercuric nitrate	D09A
thyrotropin	V04C
chlortetracycline	D06A
pioglitazone	A10B
sitagliptin	A10B
procaine	N01B
rifamycin	D06A
indometacin	M02A
enoximone	C01C
repaglinide	A10B
beclometasone	R01A
methoserpidine	C02L
diuretics	C02L
alginic acid	A02B
nitrofural	D08A
propylthiouracil	H03B
cinchocaine	C05A
biperiden	N04A
alizapride	A03F
pirbuterol	R03A
vindesine	L01C
tiagabine	N03A
crilanomer	D03A
phenazone with psycholeptics	N02B
sulfur compounds	D11A
econazole	D01A
avanafil	G04B
doxapram	R07A
sermorelin	V04C
dimetacrine	N06A
euflavine	D08A
etofylline nicotinate	C04A
sutimlimab	L04A
gallopamil	C08D
polyplatillen	L01X
galactose	V04C
dapivirine	G01A
sulfamethizole	B05C
glibornuride	A10B
oxymetazoline	S01G
alcaftadine	S01G
scopolamine	A04A
vinbarbital	N05C
lefamulin	J01X
sofosbuvir	J05A
ledipasvir	J05A
acetylsalicylic acid with proton pump inhibitors	B01A
peginterferon beta-1a	L03A
bimekizumab	L04A
sodium iothalamate (125I)	V09C
cefpiramide	J01D
ambroxol	R05C
etoglucid	L01A
dexetimide	N04A
ceftazidime	J01D
beta-lactamase inhibitor	J01D
tocainide	C01B
